node1,http://id.nlm.nih.gov/mesh/D000305,http://id.nlm.nih.gov/mesh/D003339,http://id.nlm.nih.gov/mesh/D004132,http://id.nlm.nih.gov/mesh/D004958,http://id.nlm.nih.gov/mesh/D004964,http://id.nlm.nih.gov/mesh/D004970,http://id.nlm.nih.gov/mesh/D004997,http://id.nlm.nih.gov/mesh/D006728,http://id.nlm.nih.gov/mesh/D007301,http://id.nlm.nih.gov/mesh/D007447,http://id.nlm.nih.gov/mesh/D007605,http://id.nlm.nih.gov/mesh/D008726,http://id.nlm.nih.gov/mesh/D011374,http://id.nlm.nih.gov/mesh/D012739,http://id.nlm.nih.gov/mesh/D015068,http://id.nlm.nih.gov/mesh/D042341,http://id.nlm.nih.gov/mesh/D042782,http://id.nlm.nih.gov/mesh/D045166,http://id.nlm.nih.gov/mesh/D045167
http://id.nlm.nih.gov/mesh/D000305,1.0,0.48999999999999994,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.3429999999999999,0.16806999999999994,0.48999999999999994,0.48999999999999994,0.7,0.3429999999999999,0.24009999999999995,0.3429999999999999,0.48999999999999994,0.48999999999999994,0.7,0.24009999999999995,0.3429999999999999,0.3429999999999999
http://id.nlm.nih.gov/mesh/D003339,0.48999999999999994,1.0,0.24009999999999995,0.3429999999999999,0.3429999999999999,0.3429999999999999,0.24009999999999995,0.3429999999999999,0.48999999999999994,0.48999999999999994,0.3429999999999999,0.24009999999999995,0.48999999999999994,0.7,0.48999999999999994,0.48999999999999994,0.3429999999999999,0.48999999999999994,0.48999999999999994
http://id.nlm.nih.gov/mesh/D004132,0.24009999999999995,0.24009999999999995,1.0,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.16806999999999994,0.16806999999999994,0.3429999999999999,0.24009999999999995,0.48999999999999994,0.7,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.24009999999999995
http://id.nlm.nih.gov/mesh/D004958,0.24009999999999995,0.3429999999999999,0.24009999999999995,1.0,0.7,0.7,0.48999999999999994,0.16806999999999994,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.48999999999999994,0.3429999999999999,0.24009999999999995,0.24009999999999995,0.7,0.48999999999999994,0.48999999999999994
http://id.nlm.nih.gov/mesh/D004964,0.24009999999999995,0.3429999999999999,0.24009999999999995,0.7,1.0,0.7,0.48999999999999994,0.16806999999999994,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.48999999999999994,0.3429999999999999,0.24009999999999995,0.24009999999999995,0.7,0.48999999999999994,0.48999999999999994
http://id.nlm.nih.gov/mesh/D004970,0.3429999999999999,0.3429999999999999,0.24009999999999995,0.7,0.7,1.0,0.48999999999999994,0.24009999999999995,0.3429999999999999,0.3429999999999999,0.3429999999999999,0.24009999999999995,0.48999999999999994,0.3429999999999999,0.48999999999999994,0.3429999999999999,0.7,0.48999999999999994,0.48999999999999994
http://id.nlm.nih.gov/mesh/D004997,0.16806999999999994,0.24009999999999995,0.16806999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,1.0,0.11764899999999996,0.16806999999999994,0.16806999999999994,0.16806999999999994,0.16806999999999994,0.3429999999999999,0.24009999999999995,0.16806999999999994,0.16806999999999994,0.48999999999999994,0.3429999999999999,0.3429999999999999
http://id.nlm.nih.gov/mesh/D006728,0.48999999999999994,0.3429999999999999,0.16806999999999994,0.16806999999999994,0.16806999999999994,0.24009999999999995,0.11764899999999996,1.0,0.3429999999999999,0.48999999999999994,0.24009999999999995,0.16806999999999994,0.24009999999999995,0.3429999999999999,0.3429999999999999,0.48999999999999994,0.16806999999999994,0.24009999999999995,0.24009999999999995
http://id.nlm.nih.gov/mesh/D007301,0.48999999999999994,0.48999999999999994,0.3429999999999999,0.24009999999999995,0.24009999999999995,0.3429999999999999,0.16806999999999994,0.3429999999999999,1.0,0.48999999999999994,0.48999999999999994,0.3429999999999999,0.3429999999999999,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.24009999999999995,0.3429999999999999,0.3429999999999999
http://id.nlm.nih.gov/mesh/D007447,0.7,0.48999999999999994,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.3429999999999999,0.16806999999999994,0.48999999999999994,0.48999999999999994,1.0,0.3429999999999999,0.24009999999999995,0.3429999999999999,0.48999999999999994,0.48999999999999994,0.7,0.24009999999999995,0.3429999999999999,0.3429999999999999
http://id.nlm.nih.gov/mesh/D007605,0.3429999999999999,0.3429999999999999,0.48999999999999994,0.24009999999999995,0.24009999999999995,0.3429999999999999,0.16806999999999994,0.24009999999999995,0.48999999999999994,0.3429999999999999,1.0,0.48999999999999994,0.3429999999999999,0.3429999999999999,0.3429999999999999,0.3429999999999999,0.24009999999999995,0.3429999999999999,0.3429999999999999
http://id.nlm.nih.gov/mesh/D008726,0.24009999999999995,0.24009999999999995,0.7,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.16806999999999994,0.16806999999999994,0.3429999999999999,0.24009999999999995,0.48999999999999994,1.0,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.24009999999999995
http://id.nlm.nih.gov/mesh/D011374,0.3429999999999999,0.48999999999999994,0.24009999999999995,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.3429999999999999,0.24009999999999995,0.3429999999999999,0.3429999999999999,0.3429999999999999,0.24009999999999995,1.0,0.48999999999999994,0.3429999999999999,0.3429999999999999,0.48999999999999994,0.48999999999999994,0.48999999999999994
http://id.nlm.nih.gov/mesh/D012739,0.48999999999999994,0.7,0.24009999999999995,0.3429999999999999,0.3429999999999999,0.3429999999999999,0.24009999999999995,0.3429999999999999,0.48999999999999994,0.48999999999999994,0.3429999999999999,0.24009999999999995,0.48999999999999994,1.0,0.48999999999999994,0.48999999999999994,0.3429999999999999,0.48999999999999994,0.48999999999999994
http://id.nlm.nih.gov/mesh/D015068,0.48999999999999994,0.48999999999999994,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.48999999999999994,0.16806999999999994,0.3429999999999999,0.48999999999999994,0.48999999999999994,0.3429999999999999,0.24009999999999995,0.3429999999999999,0.48999999999999994,1.0,0.48999999999999994,0.24009999999999995,0.3429999999999999,0.3429999999999999
http://id.nlm.nih.gov/mesh/D042341,0.7,0.48999999999999994,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.3429999999999999,0.16806999999999994,0.48999999999999994,0.48999999999999994,0.7,0.3429999999999999,0.24009999999999995,0.3429999999999999,0.48999999999999994,0.48999999999999994,1.0,0.24009999999999995,0.3429999999999999,0.3429999999999999
http://id.nlm.nih.gov/mesh/D042782,0.24009999999999995,0.3429999999999999,0.24009999999999995,0.7,0.7,0.7,0.48999999999999994,0.16806999999999994,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.24009999999999995,0.48999999999999994,0.3429999999999999,0.24009999999999995,0.24009999999999995,1.0,0.48999999999999994,0.48999999999999994
http://id.nlm.nih.gov/mesh/D045166,0.3429999999999999,0.48999999999999994,0.24009999999999995,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.3429999999999999,0.24009999999999995,0.3429999999999999,0.3429999999999999,0.3429999999999999,0.24009999999999995,0.48999999999999994,0.48999999999999994,0.3429999999999999,0.3429999999999999,0.48999999999999994,1.0,0.7
http://id.nlm.nih.gov/mesh/D045167,0.3429999999999999,0.48999999999999994,0.24009999999999995,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.3429999999999999,0.24009999999999995,0.3429999999999999,0.3429999999999999,0.3429999999999999,0.24009999999999995,0.48999999999999994,0.48999999999999994,0.3429999999999999,0.3429999999999999,0.48999999999999994,0.7,1.0
